Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32335775,Finding Meaning in an Imperfect World,Iddo Landau,"Landau, Iddo",,"=""0190657669""","=""9780190657666""",4,3.96,Oxford University Press,Hardcover,312,2017,,,2018/10/06,,,read,,,,1,0
533821,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393019217""","=""9780393019216""",5,4.27,W. W. Norton,Hardcover,352,1985,1985,,2016/01/25,,,read,,,,1,0
18869177,Lying,Sam Harris,"Harris, Sam",,"=""""","=""""",2,3.88,Four Elephants Press,Kindle Edition,83,2013,2011,,2018/02/07,,,read,,,,1,0
23398722,Anxious: Using the Brain to Understand and Treat Fear and Anxiety,Joseph E. LeDoux,"LeDoux, Joseph E.",Jonathan Davis,"=""0670015334""","=""9780670015337""",4,3.62,Viking,Hardcover,480,2015,2015,2017/12/20,2017/09/24,,,read,,,,1,0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",5,4.00,Penguin Books,Paperback,267,2002,2001,2017/09/24,2017/09/24,,,read,,,,1,0
25898044,How to Be Miserable: 40 Strategies You Already Use,Randy J. Paterson,"Paterson, Randy J.",,"=""1626254060""","=""9781626254060""",5,4.00,New Harbinger Publications,Paperback,248,2016,2016,2017/09/24,2017/09/24,,,read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",5,4.37,Harper Business,Hardcover,274,2016,2016,2017/09/24,2017/09/24,,,read,,,,1,0
36200111,Tribe Of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",4,4.07,Harper Business,Kindle Edition,561,2017,2017,2018/01/30,2018/01/22,,,read,,,,1,0
24679417,The 15 Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Jim Dethmer,"Dethmer, Jim","Diana Chapman, Kaley Klemp","=""0990976904""","=""9780990976905""",5,4.22,"Dethmer, Chapman & Klemp",Paperback,375,2015,2015,2018/01/22,2018/01/22,,,read,,,,2,0
81940,Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,"Leonard, George",,"=""0452267560""","=""9780452267565""",5,4.11,Plume,Paperback,176,1992,1991,,2018/01/22,,,read,,,,1,0
29355414,El Faro del fin del mundo (Spanish Edition),Jules Verne,"Verne, Jules",,"=""1517420229""","=""9781517420222""",3,3.63,CreateSpace Independent Publishing Platform,Paperback,140,2015,1905,2016/04/05,2016/04/05,,,read,,,,1,0
1194329,Cuentos de la selva,Horacio Quiroga,"Quiroga, Horacio",,"=""950581075X""","=""9789505810758""",4,3.91,Ediciones Colihue SRL,Paperback,144,1987,1918,,2016/05/14,,,read,,,,1,0
26860294,Vivir para contarla (Spanish Edition),Gabriel García Márquez,"Márquez, Gabriel García",,"=""""","=""""",4,4.02,Diana México,Kindle Edition,546,2015,2002,2016/01/15,2016/02/05,,,read,,,,1,0
27161189,"United as One (Lorien Legacies, #7)",Pittacus Lore,"Lore, Pittacus",,"=""0062387650""","=""9780062387653""",0,4.30,HarperCollins,Hardcover,449,2016,2016,,2016/01/25,to-read,to-read (#3),to-read,,,,0,0
448836,Second Treatise of Government (Hackett Classics),John Locke,"Locke, John",C.B. MacPherson,"=""0915144867""","=""9780915144860""",0,3.79,"Hackett Publishing Company (Indianapolis, IN)",Paperback,124,1980,1689,,2016/04/05,to-read,to-read (#8),to-read,,,,0,0
12651,The Social Contract,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",,"=""0143037498""","=""9780143037491""",0,3.78,Penguin,Paperback,168,2006,1762,,2016/04/05,to-read,to-read (#7),to-read,,,,0,0
9206187,Everything is Obvious: Once You Know the Answer,Duncan J. Watts,"Watts, Duncan J.",,"=""0385531680""","=""9780385531689""",0,3.81,Crown Business,Hardcover,352,2011,2011,,2016/04/05,to-read,to-read (#6),to-read,,,,0,0
6608596,Elephants on Acid and Other Bizarre Experiments,Alex Boese,"Boese, Alex",,"=""0330506641""","=""9780330506649""",5,3.77,Pan Macmillan,Paperback,268,2009,2007,2016/01/15,2016/01/24,,,read,,,,1,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",3,3.86,Vintage International,Paperback,366,1990,1929,2016/01/03,2016/01/25,,,read,,,,1,0
