X,Y,Orientation,MinorAxis,MajorAxis
325.5522,158.97,-1.55028543091878,50.4792476173944,130.567872045599
323.3055,156.6896,-1.56970580042096,51.2983966424726,130.346706610628
321.7411,154.8107,1.54568338492569,52.1349238046683,130.388075882399
320.8373,153.3294,1.51254913201275,52.6701086894142,130.640304068963
320.0381,152.5523,1.47729887309347,53.0778297450361,130.102324806756
319.3961,152.2019,1.43917147668806,53.7589102595872,129.670587481202
318.4103,152.1331,1.39412863745746,53.6493392196455,129.604095566646
317.1015,151.8249,1.35493709088779,54.0756574388832,129.34553069672
315.9554,151.7068,1.30760807180515,54.3624772333324,129.5631002505
314.1068,151.614,1.26227021754938,53.8025349903867,130.282181752069
313.0255,151.6982,1.23421469708069,53.9366409789418,130.650884841697
312.0297,151.0589,1.19960122410782,53.587478689516,132.997284611494
310.7686,150.0279,1.17608626500648,53.1681216650325,133.875249422023
309.7047,149.2482,1.14402801498818,53.0223194605981,134.897113299543
308.5904,148.4397,1.13461593542487,51.682421328009,136.129549132126
308.219,148.077,1.1258476961946,51.7171285385184,136.183045707361
308.5301,147.4356,1.09578821147566,52.5159791891217,135.951466600298
308.3689,146.993,1.073686013423,52.9994386421542,134.500258461149
307.955,146.9332,1.06522758291897,52.8128988964375,133.227636839469
307.8,146.8188,1.06023631507545,52.7260448688948,131.742064281418
307.9697,147.1014,1.0789406604983,51.9395367015148,130.726657106728
308.5793,147.6235,1.08771794106146,51.7154020521314,129.064506421962
309.1575,148.3206,1.09846042887366,51.3243375183855,128.961721923908
309.2935,148.2411,1.10517562114799,50.9458456117281,129.550332254893
306.216,143.5937,1.06001850200347,50.3646782266737,148.58955684483
306.3185,143.4924,1.06116474603037,50.0738733253267,149.596721600697
306.3967,143.2869,1.06781028382948,49.6844257734761,149.666883891186
306.9195,143.5163,1.07583352668442,49.4132456579804,147.388933218876
307.8574,144.6377,1.08946832771253,48.5827974340808,144.574837056612
309.0351,145.788,1.11923092849272,48.0299758003853,141.75092378389
310.3571,146.9322,1.16589350824561,47.824316759261,138.543990876703
311.6505,148.2563,1.22273914144349,48.3274348217497,133.850887558626
313.0162,151.2318,1.25744883687425,48.227421513319,124.990809331781
313.9079,151.8158,1.33928799910463,48.8305666461866,122.638183272585
314.9554,151.5017,1.42961740554159,49.2581184994433,121.924714323605
316.2101,151.1755,1.5100657777697,49.7912251777191,122.515152053428
317.1658,149.6717,-1.57070073948492,49.8751519699265,124.180000553024
318.7657,148.8344,-1.53189088928346,49.7556692211703,123.824144915867
320.6917,149.3067,-1.47975377828995,49.7542406011404,123.284548317844
322.6895,149.1147,-1.4019252127555,50.5044869769937,125.367089553274
325.2444,148.7965,-1.30289542968071,52.2081794531123,127.390159271848
328.3722,148.952,-1.16674148130975,54.7990377034306,128.573650690267
331.1006,150.0068,-1.03800305259701,56.6402504946993,129.353143387413
333.181,151.3235,-0.937212362717601,58.4549554985279,130.173358313769
336.1717,152.284,-0.829982585403427,59.3220098806623,132.696357370148
338.9913,152.4835,-0.735544381132145,58.8509425416497,137.267472485197
341.4326,151.9917,-0.664054944069491,57.9820650097598,139.29821616615
344.0134,150.6317,-0.601827471474424,58.0085305899751,141.767597778671
347.5886,148.8351,-0.525576866021303,56.9461137216684,145.000114734982
351.6714,148.0847,-0.458217433772869,55.3288964372793,148.726668448751
355.4433,148.0635,-0.395501975161426,52.9863420409475,154.036416738226
358.4541,147.8457,-0.35252088966754,49.7309485399967,158.254870809145
363.078,146.9563,-0.320528196931591,47.6914945239703,159.170171039379
368.3581,145.8533,-0.292225508827649,46.2292352481711,160.292077012037
373.16,144.8664,-0.263679462094445,44.5541381713027,158.772182150064
378.0128,143.9139,-0.223939574270498,43.536052366609,155.8434982826
384.1638,142.6225,-0.168866741120465,43.1940558126703,153.780816091727
391.4192,140.2189,-0.107981378095628,42.7706238346998,155.141648685016
398.7829,138.2228,-0.0440560803449912,41.8605958173266,158.324248638704
404.7196,137.1746,0.0141315893753379,41.2764951559107,159.464389365319
403.0436,138.0538,0.00850458823077039,45.1596162037314,151.404223877135
404.7816,140.1014,0.0292343579732542,48.5200113529246,144.676575712255
410.1157,139.7381,0.0882367455942641,44.5964648621451,140.376221806264
411.5014,141.8297,0.088383930655902,44.8999661508741,136.81895270254
415.7886,145.9476,0.113364719251146,45.098805521664,148.179436950738
417.028,149.4527,0.106048380923448,45.0093253807984,150.046174104536
417.7023,152.4826,0.101814487507398,44.6434031867116,152.164446988009
417.3261,154.3796,0.104403267751729,45.1514852211204,150.838779861063
416.7764,155.4976,0.126605959044727,45.5198125159343,150.648825467248
415.9062,155.9968,0.153797737136696,45.5543246322372,151.139785456031
414.1118,156.3284,0.170231275167361,45.2704931927901,147.993431922435
412.8569,156.9509,0.186431840224425,45.2745026343017,145.157578522329
413.0393,157.4495,0.209568708441803,44.0854377604667,145.180450949149
414.1925,158.2431,0.224271193462517,43.4738601112554,146.459104508308
416.395,159.0076,0.22870195369645,42.5287698309486,149.89680344875
418.9741,159.764,0.228792014098468,41.5268807759545,154.583634115742
420.9999,160.6208,0.224361474467602,40.0048486365928,159.993470634911
422.0428,161.1509,0.210295941974628,39.0743051101093,162.497820611436
422.6463,161.6178,0.202376296126314,39.0598893847275,165.038943833154
424.1492,162.2446,0.2025172360406,38.9887440111218,169.377027040812
424.7231,162.8793,0.20382869136053,38.9043659734381,170.661792890164
424.4236,163.2696,0.209544619515745,39.1895336038896,171.595476600621
424.1806,163.6495,0.223155122877578,39.6235465447169,172.4067517537
