"diputado_id","diputado_apellido","diputado_nombre","diputado_genero","diputado_distrito","mandato_inicio","mandato_fin","diputado_juramento","diputado_cese","diputado_bloque","bloque_inicio","bloque_fin"
"HCDN1467","VILLALONGA","JUAN CARLOS","M","CIUDAD DE BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
"HCDN1467","VILLALONGA","JUAN CARLOS","M","CIUDAD DE BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN1388","VILLAR MOLINA","MARIA INES","F","NEUQUEN",2013-12-10,2017-12-09,2013-12-04,2017-12-09,"MOV POP NEUQUINO",2013-12-10,2017-12-09
"HCDN1308","VILLATA","GRACIELA SUSANA","F","CORDOBA",2011-12-10,2015-12-09,2011-12-06,2015-12-09,"FRENTE CIVICO - CORDOBA",2011-12-10,2015-12-09
"HCDN1502","VILLAVICENCIO","MARIA TERESITA","F","TUCUMAN",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UCR",2015-12-10,2016-04-04
"HCDN1502","VILLAVICENCIO","MARIA TERESITA","F","TUCUMAN",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"DEL BICENTENARIO",2016-04-05,2017-12-09
"HCDN1502","VILLAVICENCIO","MARIA TERESITA","F","TUCUMAN",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"EVOLUCION RADICAL",2017-12-10,2019-12-09
"HCDN1456","VOLNOVICH","LUANA","F","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"FRENTE PARA LA VICTORIA - PJ",2015-12-10,2019-12-09
"HCDN1135","WAYAR","WALTER RAUL","M","SALTA",2009-12-10,2013-12-09,2009-12-03,2013-12-09,"FRENTE PERONISTA FEDERAL",2009-12-10,2013-12-09
"HCDN1465","WECHSLER","MARCELO GERMAN","M","CIUDAD DE BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
"HCDN1465","WECHSLER","MARCELO GERMAN","M","CIUDAD DE BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN2428","WELLBACH","RICARDO","M","MISIONES",2017-12-10,2021-12-09,2017-12-06,2021-12-09,"FRENTE DE LA CONCORDIA MISIONERO",2017-12-10,2021-12-09
"HCDN0930","WEST","MARIANO FEDERICO","M","BUENOS AIRES",2009-12-10,2013-12-09,2009-12-03,2011-12-11,"FRENTE PARA LA VICTORIA - PJ",2009-12-10,2011-12-11
"HCDN1485","WISKY","SERGIO JAVIER","M","RIO NEGRO",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
"HCDN1485","WISKY","SERGIO JAVIER","M","RIO NEGRO",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"PRO",2017-12-10,2019-12-09
"HCDN1448","WOLFF","WALDO EZEQUIEL","M","BUENOS AIRES",2015-12-10,2019-12-09,2015-12-04,2019-12-09,"UNION PRO",2015-12-10,2017-12-09
