"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"DIAZ,   ANTONINO",3139,"1898-06-14","1907-04-30","1898-06-14","1907-04-30","SALTA","SIN ESPECIFICAR","GUEMES,  LUIS","REEMPLAZA A BENJAMIN FIGUEROA POR EXPIRACION DE MANDATO."
"PATRON COSTAS,  ROBUSTIANO",3141,"1916-04-30","1925-04-30","1916-04-30","1925-04-30","SALTA","DEMOCRATA NACIONAL","SERREY,  CARLOS","REEMPLAZA A LUIS GUEMES POR EXPIRACION DE MANDATO."
"PATRON COSTAS,  ROBUSTIANO",3141,"1932-01-20","1938-04-30","1932-01-20","1938-04-30","SALTA","DEMOCRATA NACIONAL","PATRON COSTAS,  ROBUSTIANO",NA
"PATRON COSTAS,  ROBUSTIANO",3141,"1938-05-02","1947-04-30","1938-05-02","1943-06-05","SALTA","DEMOCRATA NACIONAL","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"SERREY,  CARLOS",3142,"1898-05-17","1907-04-30","1906-04-30","1907-04-30","SALTA","CONSERVADOR","OVEJERO,  DAVID","COMPLETA EL PERIODO DE FRANCISCO URIBURU."
"SERREY,  CARLOS",3142,"1925-04-28","1934-04-30","1925-04-28","1930-09-06","SALTA","CONSERVADOR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"SERREY,  CARLOS",3142,"1932-01-20","1935-04-30","1932-01-20","1935-04-30","SALTA","CONSERVADOR","SERREY,  CARLOS",NA
"SERREY,  CARLOS",3142,"1935-05-02","1944-04-30","1935-05-02","1943-06-05","SALTA","CONSERVADOR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"BAVIO,   ERNESTO F.",3143,"1946-05-22","1955-04-30","1946-05-22","1952-04-30","SALTA","SIN ESPECIFICAR","XAMENA,  CARLOS","POR LA REFORMA CONSTITUCIONAL DE 1949 LOS MANDATOS CESAN EN 1952."
"XAMENA,  CARLOS",3144,"1952-06-11","1958-04-30","1952-06-11","1955-09-21","SALTA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A ERNESTO SAVIO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"LEAVY,  NAPOLEON TOMAS",3145,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","SALTA","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"LOVAGLIO,  DANTE ARMANDO",3146,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","SALTA","LABORISTA NACIONALISTA-SALTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"CORNEJO LINARES,  JUAN CARLOS",3147,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SALTA","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"ELIAS,  FLORENCIO",3148,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SALTA","MOVIM. POPULAR SALTEÑO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"ROMERO, JUAN CARLOS",35,"1986-11-28","1995-12-09","1986-11-28","1992-12-10","SALTA","JUSTICIALISTA","SAN MILLAN, JULIO ARGENTINO","REEMPLAZA A VILLADA POR EXPIRACION DE MANDATO. RENUNCIA EN 1992. LO REEMPLAZA JULIO SAN MILLAN."
"ROMERO, JUAN CARLOS",35,"1992-12-02","2001-12-09","1992-12-02","1995-12-10","SALTA","JUSTICIALISTA","CANTARERO, EMILIO MARCELO","REEMPLAZA A H. BRAVO HERRERA POR EXPIRACION DE MANDATO. RENUNCIA EN 1995. LO REEMPLAZA EMILIO CANTARERO."
"SAN MILLAN, JULIO ARGENTINO",92,"1986-12-10","1995-12-09","1992-12-02","1995-02-09","SALTA","JUSTICIALISTA","SAN MILLAN, JULIO ARGENTINO","COMPLETA EL PERIODO DE JUAN CARLOS ROMERO."
