"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"JUSTO,  JUAN BAUTISTA",3020,"1924-05-30","1928-04-30","1924-05-30","1928-01-08","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","MOLINARI,  DIEGO LUIS","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE VICENTE GALLO ( 1919/1928 ). FALLECE EN 1928."
"MOLINARI,  DIEGO LUIS",3021,"1928-06-22","1937-04-30","1928-06-22","1930-09-06","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"PALACIOS,  ALFREDO LORENZO",3022,"1935-05-02","1944-04-30","1935-05-02","1943-06-05","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"ALVEAR,  DIEGO DE",3011,"1883-04-30","1892-04-30","1883-04-30","1887-05-12","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","ROCA,  JULIO ARGENTINO","RENUNCIA EN 1887. LO REEMPLAZA JULIO A. ROCA (1888/1890 ) Y LEANDRO N. ALEM ( 1891/1892 )"
"AMOEDO, JULIO A.",2,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","CATAMARCA","CONSERVADOR POPULAR-CATAMARCA","VILLARROEL, PEDRO GUILLERMO",NA
"BENITEZ, ALFREDO L.",3,"1983-12-21","1992-12-09","1983-12-21","1992-12-09","JUJUY","JUSTICIALISTA","CABANA, FERNANDO V.",NA
"BRASESCO, LUIS A. J.",5,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","ENTRE RÍOS","UNIÓN CÍVICA RADICAL","ALASINO, AUGUSTO",NA
"BRAVO HERRERA, HORACIO F.",7,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","SALTA","JUSTICIALISTA","ROMERO, JUAN CARLOS",NA
"CENDOYA, JORGE JOAQUIN",9,"1986-11-28","1995-12-09","1992-04-22","1995-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","ANGELOZ, EDUARDO CESAR","COMPLETA EL PERIODO DE EDGARDO  GROSSO ( 1987-1995 )."
"GASS, ADOLFO",13,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","BUENOS AIRES","UNIÓN CÍVICA RADICAL","CAFIERO, ANTONIO FRANCISCO",NA
"GURDULICH de CORREA, LILIANA",15,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","SANTA FE","JUSTICIALISTA","MASSAT, JORGE JOSE",NA
"JIMENEZ MONTILLA, ARTURO I.",16,"1983-11-29","1992-12-09","1985-06-19","1992-12-09","TUCUMÁN","JUSTICIALISTA","MIRANDA, JULIO ANTONIO","COMPLETA EL PERIODO DE RAMON ARAUJO (1983/1992)."
"MAC KARTHY, CESAR",22,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","CHUBUT","JUSTICIALISTA","ALTUNA, JUAN CARLOS","REEMPLAZA A CORCHUELO BLASCO POR EXPIRACION DE MANDATO."
"MALHARRO de TORRES, MARGARITA",23,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","MENDOZA","UNIÓN CÍVICA RADICAL","BORDON, JOSE OCTAVIO",NA
"MENEM, EDUARDO",27,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","LA RIOJA","JUSTICIALISTA","MENEM, EDUARDO",NA
"NIEVES, ROGELIO J.",29,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","FORMOSA","JUSTICIALISTA","BRANDA, RICARDO ALBERTO",NA
"OYARZUN, JUAN CARLOS",31,"1992-02-26","1998-12-09","1992-02-26","1998-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","MOVIMIENTO POPULAR FUEGUINO","ROMERO, MARCELO JUAN","LO REEMPLAZA MARCELO JUAN ROMERO."
"RODRIGUEZ SAA, ALBERTO",34,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","SAN LUIS","JUSTICIALISTA","RODRIGUEZ SAA, ALBERTO",NA
"SANCHEZ, LIBARDO NICOLAS",40,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","LA RIOJA","JUSTICIALISTA","SANCHEZ, LIBARDO NICOLAS",NA
"SOLANA, JORGE D.",42,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SOLANA, JORGE D.",NA
"VELAZQUEZ, HECTOR",47,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","MISIONES","UNIÓN CÍVICA RADICAL","HUMADA, JULIO CESAR",NA
"CASTRO, JORGE A.",52,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","JUAREZ, CARLOS ARTURO",NA
"CELLI, FELIPE",53,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","CARRIZO, MACARIO",NA
"DE LA RUA, FERNANDO",55,"1992-12-02","2001-12-09","1992-12-02","1996-08-06","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","GARCIA ARECHA, JOSE MARIA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. RENUNCIA EN 1996 PARA SER JEFE DE GOBIERNO DE LA CIUDAD AUTONOMA DE BUENOS AIRES. LO REEMPLAZA GARCIA ARECHA."
"MARINI, CELESTINO A.",62,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SANTA FE","JUSTICIALISTA","RUBEO, LUIS",NA
"MAUHUM, FERNANDO",64,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","CÓRDOBA","UNIÓN CÍVICA RADICAL","STORANI, CONRADO HUGO",NA
"SALIM, LUIS",69,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","FIGUEROA, JOSE OSCAR",NA
"SIGAL, HUMBERTO C.",70,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","CHUBUT","UNIÓN CÍVICA RADICAL","GARCIA, ALFREDO",NA
"VILLADA, FRANCISCO R.",74,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SALTA","JUSTICIALISTA","ROMERO, JUAN CARLOS",NA
"GOMEZ CENTURION, CARLOS",78,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SAN JUAN","BLOQUISTA DE SAN JUAN","BRAVO, LEOPOLDO",NA
"MATHUS ESCORIHUELA, MIGUEL A.",80,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","MENDOZA","UNIÓN CÍVICA RADICAL","GENOUD, JOSE",NA
"VERNA, CARLOS ALBERTO",94,"1992-12-09","2001-12-09","1993-04-21","2001-12-09","LA PAMPA","JUSTICIALISTA","VERNA, CARLOS ALBERTO","REEMPLAZA A PEDRO CONCHEZ POR EXPIRACION DE MANDATO."
"MASSACCESI, HORACIO",239,"1996-12-11","2001-12-09","1996-12-11","2001-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","PICHETTO, MIGUEL ÁNGEL","JURO EL 11 DE DICIEMBRE DE 1996. POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"ROMERO, MARCELO JUAN",249,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","MOVIMIENTO POPULAR FUEGUINO","CAPARRÓS, MABEL LUISA","REEMPLAZA A JUAN CARLOS OYARZUN POR EXPIRACION DE MANDATO."
"RAIJER, BEATRIZ IRMA",255,"1995-11-29","2001-12-09","1999-07-14","2001-12-09","CÓRDOBA","JUSTICIALISTA","MARTI, RUBEN AMÉRICO","REEMPLAZA A JOSE MANUEL DE LA SOTA QUE RENUNCIO PARA SER GOBERNADOR DE LA PROVINCIA DE CORDOBA."
"PALACIOS,  ALFREDO LORENZO",3022,"1961-04-28","1970-04-30","1961-04-28","1962-09-06","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A ARMANDO TURANO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"CALVIÑO DE GOMEZ,  MARIA ROSA",3023,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","CIUDAD AUTÓNOMA de BUENOS AIRES","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTA. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"TURANO,  ARMANDO LUIS",3024,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","PALACIOS,  ALFREDO LORENZO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. LO REEMPLAZA POR EXPIRACION DE MANDATO ALFREDO PALACIOS."
"FASSI,  SANTIAGO CARLOS",3025,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","CIUDAD AUTÓNOMA de BUENOS AIRES","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE1966."
"DIAZ BIALET,  ALEJANDRO MANUEL",3026,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CIUDAD AUTÓNOMA de BUENOS AIRES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"DE LA RUA, FERNANDO",55,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"VACA, EDUARDO PEDRO",46,"1989-12-06","1998-12-09","1989-12-06","1998-01-20","CIUDAD AUTÓNOMA de BUENOS AIRES","JUSTICIALISTA","O'DONNELL, MARIO ERNESTO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A DE LA RUA POR EXPIRACION DE MANDATO. FALLECE EL 20/01/1998. LO REEMPLAZA MARIO O´DONELL ( 1998/1998 )"
"O'DONNELL, MARIO ERNESTO",245,"1998-04-22","1998-12-09","1998-04-22","1998-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","JUSTICIALISTA","CORACH, CARLOS VLADIMIRO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE EDUARDO VACA POR FALLECIMIENTO."
"FERNANDEZ MEIJIDE, GRACIELA",213,"1995-11-29","2001-12-09","1995-11-29","1997-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","FREPASO","DEL PIERO, PEDRO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. TERCER SENADOR POR LA REFORMA CONSTITUCIONAL DE 1994. RENUNCIA EN 1996. EL SENADO ACEPTO LA RENUNCIA A PARTIR DEL 9 DE DICIEMBRE DE 1997. LA REEMPLAZA PEDRO DEL PIERO."
"DEL PIERO, PEDRO",241,"1995-11-29","2001-12-09","1997-12-10","2001-12-09","CIUDAD AUTÓNOMA de BUENOS AIRES","FREPASO","LEGUIZAMÓN, MARÍA LAURA","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE GRACIELA FERNANDEZ MEIJIDE."
"CAMBACERES,  ANTONINO C.",3027,"1882-05-04","1886-04-30","1882-05-04","1886-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","CAMBACERES,  ANTONINO C.","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"CAMBACERES,  ANTONINO C.",3027,"1886-05-05","1895-04-30","1886-05-05","1888-11-27","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","ZAVALIA,  SALUSTIANO J.","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO. FALLECE EN 1888. LO REEMPLAZA SALUSTIANO ZAVALIA. (1889/1890)."
"ZAVALIA,  SALUSTIANO J.",3028,"1889-05-02","1895-04-30","1889-05-02","1890-04-18","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","VALLE,  ARISTOBULO DEL","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE CAMBACERES. RENUNCIA EN 1890 PARA SER MINISTRO DEL INTERIOR. LO REEMPLAZA ARISTOBULO DEL VALLE."
"VALLE,  ARISTOBULO DEL",3029,"1891-05-19","1895-04-30","1891-05-19","1891-06-27","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","VARELA,  MARIANO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A SALUSTIANO ZAVALIA. RENUNCIA EN 1891. LO REEMPLAZA MARIANO VARELA."
"VARELA,  MARIANO",3030,"1892-05-23","1895-04-30","1892-05-23","1893-06-08","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","IRIGOYEN,  BERNARDO DE","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLAZA A ARISTOBULO DEL VALLE. RENUNCIA EN 1893. LO REEMPLAZA LEANDRO N. ALEM ( NO SE LO INCORPORA POR DESAFUERO ) . LO REEMPLAZA BERNARDO DE IRIGOYEN."
"IRIGOYEN,  BERNARDO DE",3031,"1894-07-31","1895-04-30","1894-07-31","1895-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","IRIGOYEN,  BERNARDO DE","LO REEMPLAZA A LEANDRO ALEM QUE NO SE INCORPORA POR DESAFUERO. COMPLETA EL PERIODO DE MARIANO VARELA ( 1892/1895 ).  SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"IRIGOYEN,  BERNARDO DE",3031,"1895-05-18","1904-04-30","1895-05-18","1898-05-10","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","CANE,  MIGUEL","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO. RENUNCIA EN1898. LO REEMPLAZA MIGUEL CANE."
"IRIGOYEN,  BERNARDO DE",3031,"1902-08-19","1910-04-30","1902-08-19","1906-12-27","BUENOS AIRES","UNIÓN CÍVICA RADICAL","UGARTE,  MARCELINO","COMPLETA EL PERIODO DE BARTOLOME MITRE. FALLECE EN 1906. LO REEMPLAZA MARCELINO UGARTE."
"CANE,  MIGUEL",3032,"1898-11-15","1904-04-30","1898-11-15","1904-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","VILLANUEVA, BENITO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE BERNARDO DE IRIGOYEN ( 1895/1904 )."
"VILLANUEVA, BENITO",3033,"1904-05-02","1913-04-30","1904-05-02","1913-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","DEL VALLE IBERLUCEA,  ENRIQUE","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REEMPLA ZA A MIGUEL CANE POR EXPIRACION DE MANDATO. LO REEMPLAZA DEL VALLE IBERLUCEA."
"DEL VALLE IBERLUCEA,  ENRIQUE",3034,"1913-04-29","1922-04-30","1913-04-29","1921-08-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","LE BRETON,  TOMAS A.","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EN 1921. NO SE COMPLETA EL PERIODO."
"LE BRETON,  TOMAS A.",3035,"1922-08-22","1931-04-30","1922-08-22","1922-10-12","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","BRAVO,  MARIO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. RENUNCIA EN 1922 PARA SER MINISTRO DE AGRICULTURA. LO REEMPLAZA MARIO BRAVO ( 1923/1930 )."
"BRAVO,  MARIO",3036,"1932-01-20","1938-04-30","1932-01-20","1938-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","SOCIALISTA","SAGUIER,  FERNANDO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"SAGUIER,  FERNANDO",3037,"1938-05-02","1947-04-30","1938-05-02","1939-03-18","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","TAMBORINI,  JOSE P.","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. FALLECE EN 1939. LO REEMPLAZA JOSE TAMBORINI."
"TAMBORINI,  JOSE P.",3038,"1938-05-02","1947-04-30","1940-04-26","1943-06-05","CIUDAD AUTÓNOMA de BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE FERNANDO SAGUIER ( 1938/1947 ). DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"TEISAIRE,  ALBERTO",3039,"1946-05-22","1949-04-30","1946-05-22","1949-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","LABORISTA","TEISAIRE,  ALBERTO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES."
"TEISAIRE,  ALBERTO",3039,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","CIUDAD AUTÓNOMA de BUENOS AIRES","PERONISTA","TEISAIRE,  ALBERTO","SE DENOMINA CAPITAL FEDERAL LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. REELECTO."
"TEISAIRE,  ALBERTO",3039,"1952-04-25","1958-04-30","1952-04-25","1954-01-20","CIUDAD AUTÓNOMA de BUENOS AIRES","PERONISTA","GRAZIANO,  ALBERTO  ANTONIO","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENO AIRES. RENUNCIA EN 1954 PARA ACEPTAR LA CANDIDATURA A VICEPRESIDENTE. LO REEMPLAZA ALBERTO GRAZIANO."
"GRAZIANO,  ALBERTO  ANTONIO",3040,"1954-05-12","1958-04-30","1954-05-12","1955-09-21","CIUDAD AUTÓNOMA de BUENOS AIRES","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE ALBERTO TEISAIRE. DISOLUCION DEL PODER LEGISLATIVO 21 DE SEPTIEMBRE DE 1955."
"DEL VALLE,  ARISTOBULO",3054,"1886-05-01","1895-04-30","1886-05-01","1890-07-31","BUENOS AIRES","SIN ESPECIFICAR","PAZ,  MAXIMO","REELECTO. RENUNCIA EN 1890. LO REEMPLAZA MAXIMO PAZ ( 1890/1895)"
"PAZ,  MAXIMO",3055,"1891-01-03","1895-04-30","1891-01-03","1895-04-30","BUENOS AIRES","SIN ESPECIFICAR","PELLEGRINI,  CARLOS","COMPLTA EL PERIODO DE ARISTOBULO DEL VALLE. (1886/1895). LO REEMPLAZA CARLOS PELLEGRINI."
"PELLEGRINI,  CARLOS",3056,"1895-05-06","1904-04-30","1895-05-06","1904-04-30","BUENOS AIRES","SIN ESPECIFICAR","LAINEZ,  MANUEL","REEMPLAZA A MAXIMO PAZ POR EXPIRACION DE MANDATO."
"PELLEGRINI,  CARLOS",3056,"1881-05-07","1883-04-30","1881-05-07","1883-04-30","BUENOS AIRES","SIN ESPECIFICAR","D'AMICO,  CARLOS A.","COMPLETA EL PERIODO DE DARDO ROCHA ( 1874-1883 )."
"LAINEZ,  MANUEL",3057,"1904-05-21","1913-04-30","1904-05-21","1913-04-30","BUENOS AIRES","SIN ESPECIFICAR","UGARTE,  MARCELINO","REEMPLAZA A CARLOS PELLEGRINI POR EXPIRACION DE MANDATO."
"UGARTE,  MARCELINO",3058,"1907-01-10","1910-04-30","1907-01-10","1910-04-30","BUENOS AIRES","CONSERVADOR","IRIGOYEN,  IGNACIO D.","COMPLETA EL PERIODO DE BERNARDO DE IRIGOYEN. (1902/1910)"
"UGARTE,  MARCELINO",3058,"1913-04-29","1922-04-30","1913-04-29","1914-05-01","BUENOS AIRES","CONSERVADOR","GARCIA,  LUIS","EN 1914 RENUNCIA PARA SER  GOBERNADOR DE BUENOS AIRES. LO REEMPLAZA LUIS GARCIA ( 1914 - 1922 )."
"GARCIA,  LUIS",3059,"1914-07-30","1922-04-30","1914-07-30","1922-04-30","BUENOS AIRES","CONSERVADOR","DEL VALLE,  DELFOR","COMPLETA EL PERIODO DE MARCELINO UGARTE QUE RENUNCIO (1913/1922)"
"DEL VALLE,  DELFOR",3060,"1922-06-26","1931-04-30","1922-06-26","1930-09-06","BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"SANTAMARINA,  ANTONIO",3061,"1932-01-20","1938-04-30","1932-01-20","1938-04-30","BUENOS AIRES","CONSERVADOR","SANTAMARINA,  ANTONIO",NA
"SANTAMARINA,  ANTONIO",3061,"1938-05-02","1947-04-30","1938-05-02","1943-06-05","BUENOS AIRES","CONSERVADOR","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"BUSQUET,  ALFREDO",3062,"1946-07-03","1949-04-30","1946-07-03","1949-04-30","BUENOS AIRES","SIN ESPECIFICAR","SCATAMACCHIA,  MAURICIO ANTONIO",NA
"SCATAMACCHIA,  MAURICIO ANTONIO",3063,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","BUENOS AIRES","SIN ESPECIFICAR","IBARGUREN,  PRUDENCIO MAXIMO",NA
"IBARGUREN,  PRUDENCIO MAXIMO",3064,"1952-04-25","1955-04-30","1952-04-25","1955-04-30","BUENOS AIRES","SIN ESPECIFICAR","SUBIZA,  ROMAN ALFREDO",NA
"SUBIZA,  ROMAN ALFREDO",3065,"1955-04-26","1961-04-30","1955-04-26","1955-06-18","BUENOS AIRES","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","FALLECE EL 18/6/1955. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"ARANA,  TOMAS PEDRO",3066,"1958-03-31","1967-04-30","1958-03-31","1962-09-06","BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"BLANCO,  RUBEN VICTOR M.",3067,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","BUENOS AIRES","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"FONROUGE,  ALBERTO MARIA",3068,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","BUENOS AIRES","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"PUGLIESE,  JUAN CARLOS",3069,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","BUENOS AIRES","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","SENADOR POR MINORIA. DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"FRIAS,  FELIX",3071,"1865-04-30","1874-04-30","1865-04-30","1868-09-01","BUENOS AIRES","SIN ESPECIFICAR","MITRE,  BARTOLOME","REELECTO. RENUNCIA EN 1868. LO REEMPLAZA BARTOLOME MITRE."
"ELIZALDE, RUFINO DE",3070,"1862-05-24","1865-04-30","1862-05-24","1862-10-13","BUENOS AIRES","SIN ESPECIFICAR","FRIAS,  FELIX","RENUNCIA EN 1863 PARA SER MINISTRO DE RELACIONES EXTERIORES. LO REEMPLAZA FELIX FRIAS (1863/1865)."
"FRIAS,  FELIX",3071,"1863-04-30","1865-04-30","1863-04-30","1865-04-30","BUENOS AIRES","SIN ESPECIFICAR","FRIAS,  FELIX","COMPLETA EL PERIODO DE RUFINO DE ELIZALDE ( 1862-1865 )"
"MOREAU, LEOPOLDO RAUL GUIDO",220,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","BUENOS AIRES","UNIÓN CÍVICA RADICAL","ALFONSIN, RAÚL RICARDO","POR LA REFORMA CONTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"MITRE,  BARTOLOME",3072,"1869-05-11","1874-04-30","1869-05-11","1874-04-30","BUENOS AIRES","SIN ESPECIFICAR","ROCHA,  DARDO","COMPLETA EL PERIODO DE FELIX FRIAS ( 1865/1874 ) ."
"MITRE,  BARTOLOME",3072,"1894-05-31","1901-04-30","1894-05-31","1901-04-30","BUENOS AIRES","SIN ESPECIFICAR","MITRE,  BARTOLOME","COMPLETA EL PERIODO DE ROQUE SAENZ PEÑA ( 1892-1901 )."
"MITRE,  BARTOLOME",3072,"1901-05-01","1910-04-30","1901-05-01","1902-06-05","BUENOS AIRES","SIN ESPECIFICAR","IRIGOYEN,  BERNARDO DE","REELECTO. RENUNCIA EN 1902. LO REEMPLAZA BERNARDO DE IRIGOYEN, FALLECE EN 1906 Y LO REEMPLAZA MARCELINO UGARTE."
